,date,git_hashes,input_file,n_node,start_date,n_mpi,n_omp,time_initialization,step_time
0,2018-10-11 18:57:19.084288,warpx:d3201b0798faa890f53468da1b2258c83a1760b2 picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:9a34444c332c6f6c6d1ee0c74b9d9270d4280a34 warpx:d3201b0798faa890f53468da1b2258c83a1760b2 ,automated_test_1_uniform_rest_32ppc,2,2018_10_11_17_49_17,,8.0,6.720000000000002,3.0164999999999997
1,2018-10-11 18:57:19.204098,warpx:d3201b0798faa890f53468da1b2258c83a1760b2 picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:9a34444c332c6f6c6d1ee0c74b9d9270d4280a34 warpx:d3201b0798faa890f53468da1b2258c83a1760b2 ,automated_test_2_uniform_rest_1ppc,2,2018_10_11_17_49_17,,8.0,3.785,4.0275
2,2018-10-11 18:57:19.328641,warpx:d3201b0798faa890f53468da1b2258c83a1760b2 picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:9a34444c332c6f6c6d1ee0c74b9d9270d4280a34 warpx:d3201b0798faa890f53468da1b2258c83a1760b2 ,automated_test_3_uniform_drift_4ppc,2,2018_10_11_17_49_17,,8.0,6.344999999999999,3.1900000000000004
3,2018-10-11 18:57:19.463285,warpx:d3201b0798faa890f53468da1b2258c83a1760b2 picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:9a34444c332c6f6c6d1ee0c74b9d9270d4280a34 warpx:d3201b0798faa890f53468da1b2258c83a1760b2 ,automated_test_4_labdiags_2ppc,2,2018_10_11_17_49_17,,8.0,0.9350000000000023,0.40964999999999996
4,2018-10-11 18:57:19.605223,warpx:d3201b0798faa890f53468da1b2258c83a1760b2 picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:9a34444c332c6f6c6d1ee0c74b9d9270d4280a34 warpx:d3201b0798faa890f53468da1b2258c83a1760b2 ,automated_test_5_loadimbalance,2,2018_10_11_17_49_17,,8.0,6.055000000000003,3.972
5,2018-10-11 18:57:19.701061,warpx:d3201b0798faa890f53468da1b2258c83a1760b2 picsar:708fc9138d8f765b56f2e0f504bc2356b749fb9a amrex:9a34444c332c6f6c6d1ee0c74b9d9270d4280a34 warpx:d3201b0798faa890f53468da1b2258c83a1760b2 ,automated_test_6_output_2ppc,2,2018_10_11_17_49_17,,8.0,4.7835,4.970000000000001
